index,alpha,scenario,class_index,activity_id,activity_name,method,class_f1_mean,class_f1_std,class_f1_median,method_label,rank_within_condition_activity
347,0.1,signflip_mu0p4,9,16,Vacuum cleaning,tea_fl,0.39423214916754634,0.2640042487197835,0.35680101186203117,TEA-FL,1.0
348,0.1,signflip_mu0p4,10,17,Ironing,arl_fl,0.044179268044921546,0.09315242380491583,0.0,ARL-FL,2.0
349,0.1,signflip_mu0p4,10,17,Ironing,fedavg,0.02174280879864636,0.06875679853327187,0.0,FedAvg,4.5
350,0.1,signflip_mu0p4,10,17,Ironing,fedle_adapted,0.01981424148606811,0.0626581332045747,0.0,FedLE-adapted,6.0
351,0.1,signflip_mu0p4,10,17,Ironing,fedprox,0.02174280879864636,0.06875679853327187,0.0,FedProx,4.5
352,0.1,signflip_mu0p4,10,17,Ironing,random_trimmed_mean,0.03974142378528228,0.08465081378869316,0.0,Random Trimmed Mean,3.0
353,0.1,signflip_mu0p4,10,17,Ironing,tea_fl,0.5406628896830636,0.30157996565815637,0.6732913956711803,TEA-FL,1.0
354,0.1,signflip_mu0p4,11,24,Rope jumping,arl_fl,0.0,0.0,0.0,ARL-FL,4.0
355,0.1,signflip_mu0p4,11,24,Rope jumping,fedavg,0.0,0.0,0.0,FedAvg,4.0
356,0.1,signflip_mu0p4,11,24,Rope jumping,fedle_adapted,0.0,0.0,0.0,FedLE-adapted,4.0
357,0.1,signflip_mu0p4,11,24,Rope jumping,fedprox,0.0,0.0,0.0,FedProx,4.0
358,0.1,signflip_mu0p4,11,24,Rope jumping,random_trimmed_mean,0.0,0.0,0.0,Random Trimmed Mean,4.0
359,0.1,signflip_mu0p4,11,24,Rope jumping,tea_fl,0.10635748792270532,0.2698358853292064,0.0,TEA-FL,1.0
360,1.0,clean,0,1,Lying,arl_fl,0.9055648433916718,0.053820992630449406,0.9126071884692575,ARL-FL,4.0
361,1.0,clean,0,1,Lying,fedavg,0.908217957061801,0.05783971560813234,0.9310253699788582,FedAvg,2.0
362,1.0,clean,0,1,Lying,fedle_adapted,0.9115660384824631,0.049518975838030305,0.9181125004038642,FedLE-adapted,1.0
363,1.0,clean,0,1,Lying,fedprox,0.9057205595173083,0.059879232552518744,0.9187214611872145,FedProx,3.0
364,1.0,clean,0,1,Lying,random_trimmed_mean,0.8898670434489524,0.08326771986894586,0.9138697416736454,Random Trimmed Mean,5.0
365,1.0,clean,0,1,Lying,tea_fl,0.8313391897288298,0.22141844718728312,0.8978644986449864,TEA-FL,6.0
366,1.0,clean,1,2,Sitting,arl_fl,0.4945891325002596,0.18071475037872345,0.548408768223846,ARL-FL,1.0
367,1.0,clean,1,2,Sitting,fedavg,0.4508797281009834,0.17823122353981283,0.4672315038168696,FedAvg,2.0
368,1.0,clean,1,2,Sitting,fedle_adapted,0.36314166246288043,0.25655174959867255,0.4593453464450739,FedLE-adapted,5.0
369,1.0,clean,1,2,Sitting,fedprox,0.4455344090637078,0.13357989310218893,0.4830433176595086,FedProx,3.0
370,1.0,clean,1,2,Sitting,random_trimmed_mean,0.44002144761995376,0.1872919558792482,0.5097707231040564,Random Trimmed Mean,4.0
371,1.0,clean,1,2,Sitting,tea_fl,0.19889085290835146,0.2105485965533208,0.1496057497732189,TEA-FL,6.0
372,1.0,clean,2,3,Standing,arl_fl,0.2631123399487708,0.14427197910087147,0.1977454258382093,ARL-FL,6.0
373,1.0,clean,2,3,Standing,fedavg,0.407945143465429,0.19304026524775902,0.4085753548281237,FedAvg,1.0
374,1.0,clean,2,3,Standing,fedle_adapted,0.3415775428985871,0.1995728949254995,0.3551587301587301,FedLE-adapted,5.0
375,1.0,clean,2,3,Standing,fedprox,0.3868629284523243,0.17585666153700244,0.41022776572668107,FedProx,3.0
376,1.0,clean,2,3,Standing,random_trimmed_mean,0.35726527202510133,0.16296366888253147,0.3549505082220211,Random Trimmed Mean,4.0
377,1.0,clean,2,3,Standing,tea_fl,0.40028313685521466,0.17279697762241467,0.37015363212968005,TEA-FL,2.0
378,1.0,clean,3,4,Walking,arl_fl,0.8635452647357555,0.14970229806215307,0.9416491560255849,ARL-FL,6.0
379,1.0,clean,3,4,Walking,fedavg,0.9039923101856736,0.09260575980468234,0.950414201183432,FedAvg,2.0
380,1.0,clean,3,4,Walking,fedle_adapted,0.8967545450877935,0.09112034564772953,0.9409627949070802,FedLE-adapted,4.0
381,1.0,clean,3,4,Walking,fedprox,0.903240548272507,0.09562973430173814,0.9449739468967726,FedProx,3.0
382,1.0,clean,3,4,Walking,random_trimmed_mean,0.9059609772470711,0.09488764657899065,0.9542221493222791,Random Trimmed Mean,1.0
383,1.0,clean,3,4,Walking,tea_fl,0.8837362955778609,0.1112546577872396,0.9359732996572253,TEA-FL,5.0
384,1.0,clean,4,5,Running,arl_fl,0.9278361175693657,0.060681817662078516,0.9557071691574616,ARL-FL,4.0
385,1.0,clean,4,5,Running,fedavg,0.9521158743606998,0.02321636084616095,0.9609101991060545,FedAvg,2.0
386,1.0,clean,4,5,Running,fedle_adapted,0.9254780968359292,0.06500103069232417,0.9530018076227837,FedLE-adapted,5.0
387,1.0,clean,4,5,Running,fedprox,0.9524753147721597,0.022641714615693656,0.959314811513747,FedProx,1.0
388,1.0,clean,4,5,Running,random_trimmed_mean,0.9425968840494475,0.03340789824395739,0.9521242682432041,Random Trimmed Mean,3.0
389,1.0,clean,4,5,Running,tea_fl,0.922955413645508,0.08473543313917686,0.9637061403508772,TEA-FL,6.0
390,1.0,clean,5,6,Cycling,arl_fl,0.9432704344920783,0.014691140134412252,0.9392114279547845,ARL-FL,2.0
391,1.0,clean,5,6,Cycling,fedavg,0.9355640773119823,0.045018780736327174,0.9553756588239347,FedAvg,3.0
392,1.0,clean,5,6,Cycling,fedle_adapted,0.9449952758503881,0.018975053581529584,0.953755737932953,FedLE-adapted,1.0
393,1.0,clean,5,6,Cycling,fedprox,0.9331101991482766,0.047541916546709424,0.9569850790930482,FedProx,4.0
394,1.0,clean,5,6,Cycling,random_trimmed_mean,0.9220715165579426,0.06347194409563899,0.9514443572340983,Random Trimmed Mean,6.0
395,1.0,clean,5,6,Cycling,tea_fl,0.9316536572837242,0.03337144468164208,0.9495854308557892,TEA-FL,5.0
396,1.0,clean,6,7,Nordic walking,arl_fl,0.8195205711631453,0.2197344126028915,0.9326944136061204,ARL-FL,5.0
397,1.0,clean,6,7,Nordic walking,fedavg,0.8610245340660141,0.19655641033201138,0.947692137634816,FedAvg,3.0
398,1.0,clean,6,7,Nordic walking,fedle_adapted,0.8612616211053201,0.15025517669498303,0.9190908781599809,FedLE-adapted,2.0
399,1.0,clean,6,7,Nordic walking,fedprox,0.8773772230893707,0.16228938138708768,0.9428366739619908,FedProx,1.0
400,1.0,clean,6,7,Nordic walking,random_trimmed_mean,0.847333058316047,0.22611211334092918,0.9518330211399519,Random Trimmed Mean,4.0
401,1.0,clean,6,7,Nordic walking,tea_fl,0.7529118549193214,0.32775659600473434,0.9177213591006694,TEA-FL,6.0
402,1.0,clean,7,12,Ascending stairs,arl_fl,0.8160804268437749,0.08032823413034029,0.8494897959183674,ARL-FL,4.0
403,1.0,clean,7,12,Ascending stairs,fedavg,0.8711197230205086,0.028507523025806957,0.8798401489873515,FedAvg,1.0
404,1.0,clean,7,12,Ascending stairs,fedle_adapted,0.866589869864525,0.05156115685625756,0.8765776875090672,FedLE-adapted,3.0
405,1.0,clean,7,12,Ascending stairs,fedprox,0.8707965140256336,0.0207089495809708,0.8738037587916523,FedProx,2.0
406,1.0,clean,7,12,Ascending stairs,random_trimmed_mean,0.8016242612319397,0.08855389337003813,0.8309849567762575,Random Trimmed Mean,5.0
407,1.0,clean,7,12,Ascending stairs,tea_fl,0.7379473535665926,0.08873458902268987,0.7424044490892804,TEA-FL,6.0
408,1.0,clean,8,13,Descending stairs,arl_fl,0.779366284897155,0.080681699936382,0.8073549257759784,ARL-FL,5.0
409,1.0,clean,8,13,Descending stairs,fedavg,0.8458862420136393,0.03356042315376896,0.8420774913312227,FedAvg,2.0
410,1.0,clean,8,13,Descending stairs,fedle_adapted,0.8223353289373907,0.04712762988693734,0.8142511128567689,FedLE-adapted,3.0
411,1.0,clean,8,13,Descending stairs,fedprox,0.8524569983905665,0.030975518142801382,0.858065953654189,FedProx,1.0
412,1.0,clean,8,13,Descending stairs,random_trimmed_mean,0.8167959189942199,0.08663906711685547,0.8443850267379679,Random Trimmed Mean,4.0
413,1.0,clean,8,13,Descending stairs,tea_fl,0.7180756125566158,0.19658319187738052,0.8010235059415387,TEA-FL,6.0
414,1.0,clean,9,16,Vacuum cleaning,arl_fl,0.8038634835746061,0.08002706431869164,0.814394470132175,ARL-FL,4.0
415,1.0,clean,9,16,Vacuum cleaning,fedavg,0.8117625156600796,0.06803100770078747,0.7997502846021078,FedAvg,2.0
416,1.0,clean,9,16,Vacuum cleaning,fedle_adapted,0.7938325380537942,0.0916347126184975,0.8164233795879138,FedLE-adapted,5.0
417,1.0,clean,9,16,Vacuum cleaning,fedprox,0.8128086473197802,0.0697314390327628,0.8009373369555439,FedProx,1.0
418,1.0,clean,9,16,Vacuum cleaning,random_trimmed_mean,0.808642278544067,0.07255872347643726,0.8219624850151612,Random Trimmed Mean,3.0
419,1.0,clean,9,16,Vacuum cleaning,tea_fl,0.7801436621487399,0.06960465132840758,0.7810867631600227,TEA-FL,6.0
420,1.0,clean,10,17,Ironing,arl_fl,0.7831961906164063,0.06729271189798552,0.7803422393773431,ARL-FL,3.0
421,1.0,clean,10,17,Ironing,fedavg,0.8025015969585716,0.0668479345698701,0.8247434567047158,FedAvg,1.0
422,1.0,clean,10,17,Ironing,fedle_adapted,0.7612457278270308,0.10567652890796406,0.7814840563589174,FedLE-adapted,6.0
423,1.0,clean,10,17,Ironing,fedprox,0.8014989646222361,0.07391576670948029,0.8279263596560638,FedProx,2.0
424,1.0,clean,10,17,Ironing,random_trimmed_mean,0.7795395080571131,0.07275573136825952,0.7861298598173656,Random Trimmed Mean,4.0
425,1.0,clean,10,17,Ironing,tea_fl,0.7656527057302043,0.08491947344273086,0.7988139493715702,TEA-FL,5.0
426,1.0,clean,11,24,Rope jumping,arl_fl,0.2734970068435415,0.35744583037516714,0.0,ARL-FL,5.0
427,1.0,clean,11,24,Rope jumping,fedavg,0.7015410703778501,0.3770197136400453,0.8925991135935887,FedAvg,2.0
428,1.0,clean,11,24,Rope jumping,fedle_adapted,0.5386635797393599,0.4327982939308063,0.7353988603988604,FedLE-adapted,3.0
429,1.0,clean,11,24,Rope jumping,fedprox,0.7028770944026004,0.37786694248157127,0.8925991135935887,FedProx,1.0
430,1.0,clean,11,24,Rope jumping,random_trimmed_mean,0.3392828373154771,0.4004319052271089,0.11304347826086955,Random Trimmed Mean,4.0
